seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_2016.pdf in page 1239:   '$25,500.00'
CtIDH_Casos_Esp_2016.pdf in page 1240:   '$50.000,00'
CtIDH_Casos_Esp_2016.pdf in page 1241:   '$919,011.10', '$120', '$99,000.00'
CtIDH_Casos_Esp_2016.pdf in page 1242:   '$10.000,00'
seriec_253_esp.pdf in page 120:   '$7.500,00'
seriec_253_esp.pdf in page 128:   '$100.000,00', '$65.000,00', '$20.000,00'
seriec_253_esp.pdf in page 129:   '$80.000,00', '$40.000,00', '$10.000,00'
seriec_253_esp.pdf in page 130:   '$20.000', '$165.000,00'
seriec_253_esp.pdf in page 131:   '$15.000'
seriec_222_esp.pdf in page 10:   '$130,60', '$84.326.787,50'
seriec_222_esp.pdf in page 11:   '$42.180.504,47', '$1.174.735,00', '$43.355.239,47', '$9,36', '$6.043.635,25', '$56.730.723,69'
seriec_222_esp.pdf in page 12:   '$78.09', '$50.421.736,00', '$5.145.319,00', '$55.567.055,00', '$106'
seriec_222_esp.pdf in page 13:   '$63,83', '$41.214.233,12', '$669.146,00', '$28,19', '$18.201.930,62', '$41.214.2333', '$63,83', '$7.440', '$669.146', '$41.890.819,12', '$669.146'
seriec_222_esp.pdf in page 14:   '$58.111.875'
seriec_222_esp.pdf in page 15:   '$65,33', '$42.180.504,47', '$1.174.735,00', '$65.33', '$1.174.735', '$150', '$2.166.585'
seriec_222_esp.pdf in page 16:   '$6.043.635,2', '$9,36', '$1,52', '$8,19', '$47,52'
seriec_222_esp.pdf in page 20:   '$55.567.055,00', '$41.883,379,12'
seriec_222_esp.pdf in page 21:   '$18.201.930,62', '$41.214.233,12', '$58.111.875,00', '$42.180.504,47', '$1.174.735,00', '$6.043.635,25'
seriec_222_esp.pdf in page 27:   '$18,705,000.00'
seriec_222_esp.pdf in page 28:   '$56.730.723,69', '$9.032.00', '$300.000,00'
seriec_222_esp.pdf in page 31:   '$9,435.757,80', '$25.000.00'
seriec_222_esp.pdf in page 33:   '$10,000.00', '$23.984,82', '$23.984,82'
seriec_222_esp.pdf in page 34:   '$33.805,84', '$23.984,82'
seriec_222_esp.pdf in page 35:   '$33.805,84', '$874.45'
seriec_222_esp.pdf in page 36:   '$10.300,06', '$43.099,10'
seriec_222_esp.pdf in page 37:   '$46.083,58', '$52.270,00', '$27.269,64', '$7.740,24', '$25.000,58', '$46,083,58', '$23.622.36', '$22.461.22'
seriec_222_esp.pdf in page 38:   '$106.093,00', '$20.000,00'
seriec_222_esp.pdf in page 43:   '$18,705,000.00'
seriec_222_esp.pdf in page 44:   '$18™201'
seriec_222_esp.pdf in page 59:   '$18,705,000.00'
seriec_148_esp.pdf in page 54:   '$7.500.000', '$5.000.000'
seriec_148_esp.pdf in page 55:   '$5.000.000', '$1.000.000'
seriec_148_esp.pdf in page 128:   '$19.075.000', '$26.705.000'
seriec_148_esp.pdf in page 141:   '$11.074', '$4.553', '$15.627', '$4.895.70', '$44.225.68'
seriec_087_esp.pdf in page 2:   '$69>76'
seriec_087_esp.pdf in page 3:   '$69 6'
seriec_087_esp.pdf in page 4:   '$6:5'
seriec_087_esp.pdf in page 5:   '$1892'
seriec_087_esp.pdf in page 6:   "$67'3"
seriec_087_esp.pdf in page 7:   '$673'
seriec_087_esp.pdf in page 9:   '$6;79', '$6;79', '$6;79'
seriec_087_esp.pdf in page 10:   '$66N5', '$66N55', '$66N55', '$66N55'
seriec_087_esp.pdf in page 13:   '$69>76'
seriec_087_esp.pdf in page 17:   '$5˚01'
seriec_087_esp.pdf in page 19:   '$839'
seriec_217_esp.pdf in page 80:   '$263,250.00'
seriec_217_esp.pdf in page 81:   '$900.00', '$450.00', '$157,950.00', '$29,057.00'
seriec_217_esp.pdf in page 82:   '$130,000.00', '$300,150.00', '$1,300.00', '$12,865.12', '$13,572.00'
seriec_217_esp.pdf in page 83:   '$75,000.00', '$70,000.00', '$40,000.00'
seriec_217_esp.pdf in page 84:   '$5,000.00'
seriec_217_esp.pdf in page 85:   '$700,000.00', '$250,000.00', '$100,000.00'
seriec_217_esp.pdf in page 86:   '$80,000.00', '$50,000.00', '$40,000.00', '$70,000.00'
seriec_217_esp.pdf in page 87:   '$90,000.00', '$1,697.00', '$3,000.00'
seriec_217_esp.pdf in page 88:   '$3,000.00', '$15,000.00', '$10,000.00'
seriec_277_esp.pdf in page 92:   '$145'
seriec_277_esp.pdf in page 93:   '$145,000.00', '$14,500.00', '$1,200.00'
seriec_277_esp.pdf in page 95:   '$220,000.00', '$120,000.00', '$50,000.00', '$8.251.63', '$10,000.00'
seriec_277_esp.pdf in page 97:   '$2,117.99'
seriec_277_esp.pdf in page 98:   '$2,117.99'
seriec_186_esp.pdf in page 57:   '$57.800,00'
seriec_270_esp.pdf in page 52:   '$144.908.450', '$355.140.920'
seriec_270_esp.pdf in page 54:   '$1.243.475.684', '$68.233.062'
seriec_270_esp.pdf in page 55:   '$1.243.475.684.00', '$11.154.769.286.00'
seriec_270_esp.pdf in page 113:   '$1.243.475.684', '$68.233.062'
seriec_270_esp.pdf in page 152:   '$12.348.000', '$480.972.101', '$1.416.293', '$36.153.700', '$404.529.123', '$38.872.985', '$494.909.448', '$502.067.080', '$548.678.121', '$552.599.373', '$555.570.018', '$565.313.886', '$567.512.010', '$560.323.049', '$548.559.295', '$582.246.410', '$575.295.1'
seriec_270_esp.pdf in page 153:   '$594.128.990'
seriec_144_esp.pdf in page 33:   '$480'
seriec_121_esp.pdf in page 30:   '$20.000,00'
seriec_121_esp.pdf in page 31:   '$20.000,00', '$250.000,00'
seriec_121_esp.pdf in page 32:   '$250.000,00'
seriec_015_esp.pdf in page 27:   '$453.102'
seriec_015_esp.pdf in page 28:   '$4.000'
seriec_015_esp.pdf in page 30:   '$453.102', '$4.000'
CtIDH_Casos_Esp_2014.pdf in page 146:   '$5.000,00', '$40.000,00', '$3,156'
CtIDH_Casos_Esp_2014.pdf in page 147:   '$6,030.20', '$6,293'
CtIDH_Casos_Esp_2014.pdf in page 148:   '$1.972.59'
CtIDH_Casos_Esp_2014.pdf in page 149:   '$1.972.59'
CtIDH_Casos_Esp_2014.pdf in page 176:   '$290.000.000', '$22.598.000', '$10.297.50000', '$23.810.540', '$720.000.000', '$7.228.800', '$3.500.000.000', '$91.778.615', '$95.690.000', '$139.876.847', '$132.000.000', '$150.000.000', '$8.012.880', '$13.109.995'
CtIDH_Casos_Esp_2014.pdf in page 177:   '$30.000.000', '$299.813.322', '$599.999.260', '$140.144.219', '$220.000.000', '$413.373.833', '$156.300.00', '$1.314.892.784'
CtIDH_Casos_Esp_2014.pdf in page 180:   '$720.000.000', '$720.000', '$139.876.347', '$8.012.880', '$30.476.895', '$25.355.110'
CtIDH_Casos_Esp_2014.pdf in page 218:   '$167,029.53', '$143,478.37', '$310,507.90'
CtIDH_Casos_Esp_2014.pdf in page 219:   '$270,000.00', '$290,000.00', '$775,000.00', '$576,000.00', '$42,000.00', '$75,000.00', '$647,500.00'
CtIDH_Casos_Esp_2014.pdf in page 220:   '$1,124,185.74', '$1,125,228.12', '$1,246,278.00', '$1,123,156.90', '$1,217,451.20', '$1,238,697.80', '$1,169,737.94', '$660,585.50', '$660,585.50', '$1,098,043.94', '$1,094,805.00'
CtIDH_Casos_Esp_2014.pdf in page 223:   '$25,000.00'
CtIDH_Casos_Esp_2014.pdf in page 224:   '$10,000.00', '$10,000.00', '$7,244.95', '$7,244.95'
CtIDH_Casos_Esp_2014.pdf in page 430:   '$18.792.899', '$40.327.223,94', '$48.955.478', '$59.832.647,6', '$30.857.078,89', '$5.717.868,97', '$200.886.977,64', '$48.495.654,03'
CtIDH_Casos_Esp_2014.pdf in page 669:   '$250.000', '$1.000.000'
CtIDH_Casos_Esp_2014.pdf in page 671:   '$250.000', '$1.000.000'
CtIDH_Casos_Esp_2014.pdf in page 672:   '$120.000'
CtIDH_Casos_Esp_2014.pdf in page 787:   '$30.000,00', '$10.000,00', '$5.000,00', '$10.000,00'
CtIDH_Casos_Esp_2014.pdf in page 788:   '$785,00'
CtIDH_Casos_Esp_2014.pdf in page 789:   '$1.990,63', '$997,50', '$312,89', '$138,20', '$38,72'
CtIDH_Casos_Esp_2014.pdf in page 834:   '$50,000.00'
CtIDH_Casos_Esp_2014.pdf in page 835:   '$35,000'
CtIDH_Casos_Esp_2014.pdf in page 962:   '$5,000.00', '$3,400', '$2,800', '$5,000', '$200', '$50,000', '$10,500', '$500', '$50,000', '$1,000'
CtIDH_Casos_Esp_2014.pdf in page 963:   '$3,000', '$42,000'
CtIDH_Casos_Esp_2014.pdf in page 964:   '$10,000.00', '$10,000.00', '$10,000.00', '$10,000.00', '$10,000.00', '$10,000.00'
CtIDH_Casos_Esp_2014.pdf in page 965:   '$8,927.00', '$9,742.00', '$200,000.00', '$650', '$14,950.00'
CtIDH_Casos_Esp_2014.pdf in page 968:   '$10,000.00', '$3,000.00', '$3,000.00', '$3,000.00'
CtIDH_Casos_Esp_2014.pdf in page 969:   '$5,661.75'
CtIDH_Casos_Esp_2014.pdf in page 1066:   '$601.219', '$604.049', '$600.000', '$180.840', '$500', '$2.000', '$3.300'
CtIDH_Casos_Esp_2014.pdf in page 1067:   '$500', '$100.000', '$100.000', '$50.000,00', '$25.000,00', '$60.000', '$60.000', '$35.000', '$35.000', '$30.000'
CtIDH_Casos_Esp_2014.pdf in page 1068:   '$20.000', '$15.000', '$15.000', '$6.000', '$7.238', '$1.500', '$2.000'
CtIDH_Casos_Esp_2014.pdf in page 1069:   '$6.511', '$2.725,17', '$2.725,17'
CtIDH_Casos_Esp_2014.pdf in page 1126:   '$424.964.798'
CtIDH_Casos_Esp_2014.pdf in page 1227:   '$50,000.00', '$10.899,99', '$17.816,77', '$28.716,76'
CtIDH_Casos_Esp_2014.pdf in page 1228:   '$25.820,00', '$32.000,00', '$28.700,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2014.pdf in page 1232:   '$7.652,88', '$7.652,88'
CtIDH_Casos_Esp_2014.pdf in page 1435:   '$145'
CtIDH_Casos_Esp_2014.pdf in page 1436:   '$145,000.00', '$14,500.00', '$1,200.00'
CtIDH_Casos_Esp_2014.pdf in page 1438:   '$220,000.00', '$120,000.00', '$50,000.00', '$8.251.63', '$10,000.00'
CtIDH_Casos_Esp_2014.pdf in page 1440:   '$2,117.99'
CtIDH_Casos_Esp_2014.pdf in page 1441:   '$2,117.99'
CtIDH_Casos_Esp_2014.pdf in page 1489:   '$10,000.00'
CtIDH_Casos_Esp_2014.pdf in page 1490:   '$3,364.00'
seriec_298_esp.pdf in page 58:   '$489.44'
seriec_298_esp.pdf in page 111:   '$500', '$1.500', '$8.000', '$5.000', '$10.000', '$2.000'
seriec_298_esp.pdf in page 112:   '$15.0', '$20.000', '$20.19'
seriec_298_esp.pdf in page 114:   '$500', '$1.500'
CtIDH_Casos_Esp_2004.pdf in page 54:   '$185.00', '$2,500'
CtIDH_Casos_Esp_2004.pdf in page 260:   '$557.453'
CtIDH_Casos_Esp_2004.pdf in page 266:   '$60.000,00', '$50.000,00', '$110.000,00', '$25.000,00'
CtIDH_Casos_Esp_2004.pdf in page 267:   '$12.500,00', '$25.000,00', '$10.000,00', '$8.000,00'
CtIDH_Casos_Esp_2004.pdf in page 268:   '$150.000,00', '$100.000,00'
CtIDH_Casos_Esp_2004.pdf in page 269:   '$75.000,00', '$10.000,00', '$15.000,00', '$10.000,00', '$100.000,00', '$80.000,00', '$50.000,00'
CtIDH_Casos_Esp_2004.pdf in page 270:   '$80.000,00', '$50.000,00', '$50.000,00', '$20.000,00', '$80.000,00', '$20.000,00', '$50.000,00'
CtIDH_Casos_Esp_2004.pdf in page 271:   '$50.000,00'
CtIDH_Casos_Esp_2004.pdf in page 274:   '$55.000,00', '$100.000,00', '$40.000,00', '$40.000,00', '$8.000,00', '$8.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$55.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$55.000,00', '$40.000,00', '$40.000,00', '$20.000,00', '$25.000,00', '$50.000,00', '$20.000,00', '$1.361.000,00'
CtIDH_Casos_Esp_2004.pdf in page 283:   '$25.000,00', '$12.500,00', '$12.000,00'
CtIDH_Casos_Esp_2004.pdf in page 362:   '$7.062,78', '$282.511,20', '$1.901.643,80', '$466.143,80', '$1.435.500,00'
CtIDH_Casos_Esp_2004.pdf in page 363:   '$11.204.530,00'
CtIDH_Casos_Esp_2004.pdf in page 364:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2004.pdf in page 365:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$165.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2004.pdf in page 366:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2004.pdf in page 367:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$60.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2004.pdf in page 368:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2004.pdf in page 369:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2004.pdf in page 370:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$905.000,00'
CtIDH_Casos_Esp_2004.pdf in page 372:   '$30.000,00', '$30.000,00', '$25.000,00'
CtIDH_Casos_Esp_2004.pdf in page 373:   '$11.204.530,00'
CtIDH_Casos_Esp_2004.pdf in page 376:   '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 377:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$660.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 378:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 379:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$1.820.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$240.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 380:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 381:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 382:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 383:   '$20.000,00', '$20.000,00', '$20.000,00', '$3,620.000,00'
CtIDH_Casos_Esp_2004.pdf in page 390:   '$25.000,00'
CtIDH_Casos_Esp_2004.pdf in page 393:   '$55.000,00'
CtIDH_Casos_Esp_2004.pdf in page 527:   '$135.000', '$6.000', '$5.000', '$10.000'
CtIDH_Casos_Esp_2004.pdf in page 528:   '$80.000', '$300.000', '$2.000'
CtIDH_Casos_Esp_2004.pdf in page 593:   '$2.500,00', '$70.000,00', '$100,00', '$7.400,00', '$1.500,00', '$3.000,00', '$47,61', '$7.141,00', '$45.397,00'
CtIDH_Casos_Esp_2004.pdf in page 594:   '$135.000,00', '$6.000,00', '$4.857,00', '$5.000,00', '$10.000,00', '$2.000,00'
CtIDH_Casos_Esp_2004.pdf in page 596:   '$6.000,00', '$4.857'
CtIDH_Casos_Esp_2004.pdf in page 597:   '$100.000,00'
CtIDH_Casos_Esp_2004.pdf in page 598:   '$100.000,00', '$500.000,00'
CtIDH_Casos_Esp_2004.pdf in page 607:   '$1.544,00', '$30.000,00', '$21.000,00', '$3.000,00', '$4.200,00', '$2.750,00', '$15,00', '$3.000,00', '$9.950,00', '$5.400,00', '$3.100,00', '$15,00', '$6.000,00'
CtIDH_Casos_Esp_2004.pdf in page 608:   '$20.000,00'
CtIDH_Casos_Esp_2004.pdf in page 833:   '$65.000,00'
CtIDH_Casos_Esp_2004.pdf in page 834:   '$25.000,00', '$15.000,00', '$25.000,00'
CtIDH_Casos_Esp_2004.pdf in page 835:   '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00'
CtIDH_Casos_Esp_2004.pdf in page 933:   '$1.400'
CtIDH_Casos_Esp_2004.pdf in page 1026:   '$1.200,00'
CtIDH_Casos_Esp_2004.pdf in page 1117:   '$100.000,00', '$100.000,00', '$100.000,00', '$100.000,00', '$40.500,00', '$40.500,00', '$240.500,00'
CtIDH_Casos_Esp_2004.pdf in page 1128:   '$240.500,00'
CtIDH_Casos_Esp_2004.pdf in page 1129:   '$500.000,00', '$30.000,00'
CtIDH_Casos_Esp_2004.pdf in page 1277:   '$1.255,43', '$1.271,43', '$1.086,27'
CtIDH_Casos_Esp_2004.pdf in page 1320:   '$1.000,00', '$331.500,00'
CtIDH_Casos_Esp_2004.pdf in page 1321:   '$100,00', '$300,00', '$2.100,00', '$200,00', '$20.000,00', '$6.000,00', '$8.000,00', '$4.000,00', '$34.000,00', '$450,00'
CtIDH_Casos_Esp_2004.pdf in page 1322:   '$70.200,00', '$3.500,00', '$100.000,00', '$1.200,00', '$1.500,00', '$1.000,00', '$1.000,00', '$4.700,00'
CtIDH_Casos_Esp_2004.pdf in page 1323:   '$100.000,00'
CtIDH_Casos_Esp_2004.pdf in page 1324:   '$1.400,00', '$34.000,00', '$6.000,00', '$8.000,00', '$20.000,00', '$80.000,00', '$60.000,00'
CtIDH_Casos_Esp_2004.pdf in page 1325:   '$100.000,00', '$100.000,00', '$280,00', '$40.000,00', '$40.280,00', '$280,00', '$40.000,00', '$40.280,00', '$280,00', '$6.000,00', '$20.000,00', '$26.280,00', '$280,00', '$8.000,00', '$20.000,00', '$28.280,00', '$280,00', '$20.000,00', '$20.000,00', '$40.280,00'
